Codigo do Termo;Termo
100712746;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-034-10 Componente Femoral Metálico Trabecular Bloco Distal, 5mm Tam D Nexgen / LCCK - Zimmer
100712754;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-016-12 Componente Haste Femoral/Tibial Sharp Fluted 12mmx175mm Nexgen / LCCK - Zimmer
100712762;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-016-17 Componente Haste Femoral/Tibial Sharp Fluted 17mmx175mm Nexgen / LCCK - Zimmer
100712770;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-034-20 Componente Femoral Metálico Trabecular Bloco Distal, 10mm Tam D Nexgen / LCCK - Zimmer
100712789;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-036-23 Componente Femoral Metálico Trabecular Bloco Distal-Único, 15mm Tam F Nexgen LCCK - Zimmer
100712797;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-036-02 Componente Femoral Metálico Trabecular Bloco Posterior, 10mm Tam F Nexgen / LCCK - Zimmer
100712800;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-034-01 Componente Femoral Metálico Trabecular Bloco Posterior, 5mm Tam D Nexgen / LCCK - Zimmer
100712819;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-010-15 Componente Haste Femoral/Tibial Reta 15mmx145mm Nexgen / LCCK - Zimmer
100712827;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-014-01 Componente Femoral LPS Precoat, Esq, Tam D Nexgen - Zimmer
100712835;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-036-23 Componente Femoral Metálico Bloco Distal-Único, 15mm Tam F Nexgen / LCCK - Zimmer
100712843;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-033-31 Componente Cunha Femoral Metálica Anterior, Tam C Nexgen / LCCK - Zimmer
100712851;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-020-11 Componente Haste Femoral/Tibial Offset 11mmx145mm Nexgen / LCCK - Zimmer
100712860;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-035-20 Componente Femoral Metálico Trabecular Bloco Distal, 10mm Tam E Nexgen / LCCK - Zimmer
100712878;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-015-14 Componente Haste Femoral/Tibial Sharp Fluted 14mmx120mm Nexgen / LCCK - Zimmer
100712886;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-010-24 Componente Haste Femoral/Tibial Reta 24mmx145mm Nexgen / LCCK - Zimmer
100712894;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5960-015-52 Componente Femoral LPS-Flex Precoat, Dir, Tam E Nexgen - Zimmer
100712908;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-016-15 Componente Haste Femoral/Tibial Sharp Fluted 15mmx175mm Nexgen / LCCK - Zimmer
100712916;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-035-22 Componente Femoral Metálico Bloco Posterior-Único, 10mm Tam E Nexgen / LCCK - Zimmer
100712924;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-016-01 Componente Femoral LPS Precoat, Esq, Tam F Nexgen - Zimmer
100712932;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-020-16 Componente Haste Femoral/Tibial Offset 16mmx145mm Nexgen / LCCK - Zimmer
100712940;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-036-10 Componente Femoral Metálico Bloco Distal, 5mm Tam F Nexgen / LCCK - Zimmer
100712959;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-016-02 Componente Femoral LPS Precoat, Dir, Tam F Nexgen - Zimmer
100712967;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-015-20 Componente Haste Femoral/Tibial Sharp Fluted 20mmx120mm Nexgen / LCCK - Zimmer
100712975;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-035-23 Componente Femoral Metálico Bloco Distal-Único, 15mm Tam E Nexgen / LCCK - Zimmer
100712983;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-037-23 Componente Femoral Metálico Bloco Distal-Único, 15mm Tam G Nexgen / LCCK - Zimmer
100712991;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-010-10 Componente Haste Femoral/Tibial Reta 10mmx145mm Nexgen / LCCK - Zimmer
100713009;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-010-18 Componente Haste Femoral/Tibial Reta 18mmx145mm Nexgen / LCCK - Zimmer
100713017;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-013-02 Componente Femoral LPS Precoat, Dir, Tam C Nexgen - Zimmer
100713025;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 32-5988-012-18 Componente Haste Femoral/Tibial Reta 18mmx245mm Nexgen / LCCK - Zimmer
100713033;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-035-20 Componente Femoral Metálico Bloco Distal, 10mm Tam E Nexgen / LCCK - Zimmer
100713041;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-033-02 Componente Femoral Metálico Bloco Posterior, 10mm Tam C Nexgen / LCCK - Zimmer
100713050;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5960-013-52 Componente Femoral LPS-Flex Precoat, Dir, Tam C Nexgen - Zimmer
100713068;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-016-14 Componente Haste Femoral/Tibial Sharp Fluted 14mmx175mm Nexgen / LCCK - Zimmer
100713076;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5960-012-51 Componente Femoral LPS-Flex Precoat, Esq, Tam B Nexgen - Zimmer
100713084;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 32-5988-012-24 Componente Haste Femoral/Tibial Reta 24mmx245mm Nexgen / LCCK - Zimmer
100713092;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-036-02 Componente Femoral Metálico Bloco Posterior, 10mm Tam F Nexgen / LCCK - Zimmer
100713106;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-011-14 Componente Haste Femoral/Tibial Reta 14mmx200mm Nexgen / LCCK - Zimmer
100713114;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-035-24 Componente Femoral Metálico Bloco Distal-Único, 20mm Tam E Nexgen / LCCK - Zimmer
100713122;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-015-13 Componente Haste Femoral/Tibial Sharp Fluted 13mmx120mm Nexgen / LCCK - Zimmer
100713130;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-037-02 Componente Femoral Metálico Bloco Posterior, 10mm Tam G Nexgen / LCCK - Zimmer
100713149;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-034-01 Componente Femoral Metálico Bloco Posterior, 5mm Tam D Nexgen / LCCK - Zimmer
100713157;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5960-015-51 Componente Femoral LPS-Flex Precoat, Esq, Tam E Nexgen - Zimmer
100713165;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5960-011-52 Componente Femoral LPS-Flex Precoat, Dir, Tam A Nexgen - Zimmer
100713173;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-035-01 Componente Femoral Metálico Trabecular Bloco Posterior, 5mm Tam E Nexgen / LCCK - Zimmer
100713181;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-032-21 Componente Femoral Metálico Bloco Distal-Único, 10mm Tam B Nexgen / LCCK - Zimmer
100713190;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-011-15 Componente Haste Femoral/Tibial Reta 15mmx200mm Nexgen / LCCK - Zimmer
100713203;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-033-01 Componente Femoral Metálico Bloco Posterior, 5mm Tam C Nexgen / LCCK - Zimmer
100713211;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-036-01 Componente Femoral Metálico Bloco Posterior, 5mm Tam F Nexgen / LCCK - Zimmer
100713220;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-011-12 Componente Haste Femoral/Tibial Reta 12mmx200mm Nexgen / LCCK - Zimmer
100713238;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-032-10 Componente Femoral Metálico Bloco Distal, 5mm Tam B Nexgen / LCCK - Zimmer
100713246;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-021-15 Componente Haste Femoral/Tibial Offset 15mmx200mm Nexgen / LCCK - Zimmer
100713254;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-015-22 Componente Haste Femoral/Tibial Sharp Fluted 22mmx120mm Nexgen / LCCK - Zimmer
100713262;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5960-017-51 Componente Femoral LPS-Flex Precoat, Esq, Tam G Nexgen - Zimmer
100713270;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-037-01 Componente Femoral Metálico Bloco Posterior, 5mm Tam G Nexgen / LCCK - Zimmer
100713289;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-016-24 Componente Haste Femoral/Tibial Sharp Fluted 24mmx175mm Nexgen / LCCK - Zimmer
100713297;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-012-15 Componente Haste Femoral/Tibial Reta 15mmx75mm Nexgen / LCCK - Zimmer
100713300;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-035-23 Componente Femoral Metálico Trabecular Bloco Distal-Único, 15mm Tam E Nexgen/LCCK - Zimmer
100713319;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-034-10 Componente Femoral Metálico Bloco Distal, 5mm Tam D Nexgen / LCCK - Zimmer
100713327;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-015-10 Componente Haste Femoral/Tibial Sharp Fluted 10mmx120mm Nexgen / LCCK - Zimmer
100713335;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-011-13 Componente Haste Femoral/Tibial Reta 13mmx200mm Nexgen / LCCK - Zimmer
100713343;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-012-12 Componente Haste Femoral/Tibial Reta 12,7mmx75mm Nexgen / LCCK - Zimmer
100713351;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5960-013-51 componente Femoral LPS-Flex Precoat, Esq, Tam C Nexgen - Zimmer
100713360;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-034-20 Componente Femoral Metálico Bloco Distal, 10mm Tam D Nexgen / LCCK - Zimmer
100713378;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-036-20 Componente Femoral Metálico Trabecular Bloco Distal, 10mm Tam F Nexgen / LCCK - Zimmer
100713386;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-033-20 Componente Femoral Metálico Trabecular Bloco Distal, 10mm Tam C Nexgen / LCCK - Zimmer
100713394;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 32-5988-012-15 Componente Haste Femoral/Tibial Reta 15mmx245mm Nexgen / LCCK - Zimmer
100713408;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-015-16 Componente Haste Femoral/Tibial Sharp Fluted 16mmx120mm Nexgen / LCCK - Zimmer
100713416;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-016-10 Componente Haste Femoral/Tibial Sharp Fluted 10mmx175mm Nexgen / LCCK - Zimmer
100713424;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-011-17 Componente Haste Femoral/Tibial Reta 17mmx200mm Nexgen / LCCK - Zimmer
100713432;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-016-13 Componente Haste Femoral/Tibial Sharp Fluted 13mmx175mm Nexgen / LCCK - Zimmer
100713440;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-015-02 Componente Femoral LPS Precoat, Dir, Tam E Nexgen - Zimmer
100713459;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 32-5988-012-14 Componente Haste Femoral/Tibial Reta 14mmx245mm Nexgen / LCCK - Zimmer
100713467;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-035-10 Componente Femoral Metálico Bloco Distal, 5mm Tam E Nexgen / LCCK - Zimmer
100713475;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-037-31 Componente Cunha Femoral Metálica Anterior, Tam G Nexgen / LCCK - Zimmer
100713483;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5988-021-13 Componente Haste Femoral/Tibial Offset 13mmx200mm Nexgen / LCCK - Zimmer
100713491;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-035-21 Componente Femoral Metálico Bloco Distal-Único, 10mm Tam E Nexgen / LCCK - Zimmer
100713505;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-037-20 Componente Femoral Metálico Bloco Distal, 10mm Tam G Nexgen / LCCK - Zimmer
100713513;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5990-012-02 Componente Femoral LPS Micro Precoat, Dir, Tam B Nexgen - Zimmer
100713521;COMPONENTE FEMORAL COM RESTRIÇÃO COM REVESTIMENTO - 00-5490-034-24 Componente Femoral Metálico Trabecular Bloco Distal-Único, 20mm Tam D Nexgen/LCCK – Zimmer
100798659;SISTEMA ACETABULAR VERSAFITCUP CC
100798667;SISTEMA ACETABULAR VERSAFITCUP CC - 25050.3203 Cabeça de Cerâmica 12/14
100798675;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.50MBTL Componente Acetabular CC Light
100798683;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0046 Componente Acetabular CC TRIO 46
100798691;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0056 Componente Acetabular CC TRIO 56
100798705;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0060 Componente Acetabular CC TRIO 60
100798713;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.62MBT (Componente Acetabular)
100798721;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0048 Componente Acetabular CC TRIO 48
100798730;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1146 Componente Acetabular CC TRIO sem furos 46
100798748;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3652HCT (Núcleo Acetabular Reto HC de PE)
100798756;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2852STT (Núcleo Acetabular Reto de PE)
100798764;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.62MBTL Componente Acetabular CC Light
100798772;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0064 Componente Acetabular CC TRIO 64
100798780;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0052 Componente Acetabular CC TRIO 52
100798799;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.52MBT (Componente Acetabular)
100798802;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.60MBT (Componente Acetabular)
100798810;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1152 Componente Acetabular CC TRIO sem furos 52
100798829;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0050 Componente Acetabular CC TRIO 50
100798837;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1156 Componente Acetabular CC TRIO sem furos 56
100798845;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7172.025.20 Cabeça de Cerâmica 12/14
100798853;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.48MBTL Componente Acetabular CC Light
100798861;SISTEMA ACETABULAR VERSAFITCUP CC - 25050.2805 Cabeça de Cerâmica 12/14
100798870;SISTEMA ACETABULAR VERSAFITCUP CC - 01.25.120 Cabeça de Cerâmica 12/14
100798888;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2841STT (Núcleo Acetabular Reto de PE)
100798896;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2839HCT (Núcleo Acetabular Reto HC de PE)
100798900;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2848HCT (Núcleo Acetabular Reto HC de PE)
100798918;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3252HCT (Núcleo Acetabular Reto HC de PE)
100798926;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.65.35 (Parafuso Esponjoso com cabeça reta)
100798934;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1148 Componente Acetabular CC TRIO sem furos 48
100798942;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.54MBTL Componente Acetabular CC Light
100798950;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2844HCT (Núcleo Acetabular Reto HC de PE)
100798969;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1154 Componente Acetabular CC sem furos 54
100798977;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.65.25 (Parafuso Esponjoso com cabeça reta)
100798985;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.65.45 (Parafuso Esponjoso com cabeça reta)
100798993;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.46MBTL Componente Acetabular CC Light
100799000;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1160 Componente Acetabular CC TRIO sem furos 60
100799019;SISTEMA ACETABULAR VERSAFITCUP CC - 01.25.122 Cabeça de Cerâmica 12/14
100799027;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3648HCT (Núcleo Acetabular Reto HC de PE)
100799035;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7172.065.24 Cabeça de Cerâmica 12/14
100799043;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7172.005.22 Cabeça de Cerâmica 12/14
100799051;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.56MBT (Componente Acetabular)
100799060;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.64MBT (Componente Acetabular)
100799078;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2848STT (Núcleo Acetabular Reto de PE)
100799086;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3248STT (Núcleo Acetabular Reto de PE)
100799094;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3252STT (Núcleo Acetabular Reto de PE)
100799108;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.55.TP (Tampão)
100799116;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1158 Componente Acetabular CC sem furos 58
100799124;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.60MBTL Componente Acetabular CC Light
100799132;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2844STT (Núcleo Acetabular Reto de PE)
100799140;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.54MBT (Componente Acetabular)
100799159;SISTEMA ACETABULAR VERSAFITCUP CC - 01.25.121 Cabeça de Cerâmica 12/14
100799167;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0070 Tampão Trio
100799175;SISTEMA ACETABULAR VERSAFITCUP CC - 25050.2803 Cabeça de Cerâmica 12/14
100799183;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2841HCT (Núcleo Acetabular Reto HC de PE)
100799191;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0062 Componente Acetabular CC TRIO 62
100799205;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.50MBT (Componente Acetabular)
100799213;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.50MBT Componente Acetabular CC Light
100799221;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.48MBT (Componente Acetabular)
100799230;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.52MBTL Componente Acetabular CC Light
100799248;SISTEMA ACETABULAR VERSAFITCUP CC - 25050.3205 Cabeça de Cerâmica 12/14
100799256;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.65.30 (Parafuso Esponjoso com cabeça reta)
100799264;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.55.TPL (Tampão CC Light)
100799272;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7175.895.20 Cabeça de Cerâmica 12/14
100799280;SISTEMA ACETABULAR VERSAFITCUP CC - 25050.2801 Cabeça de Cerâmica 12/14
100799299;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.58MBT (Componente Acetabular)
100799302;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1162 Componente Acetabular CC sem furos 62
100799310;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1150 Componente Acetabular CC TRIO sem furos 50
100799329;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.1164 Componente Acetabular CC TRIO sem furos 64
100799337;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7172.015.26 Cabeça de Cerâmica 12/14
100799345;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7172.045.27 Cabeça de Cerâmica 12/14
100799353;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2839STT (Núcleo Acetabular Reto de PE)
100799361;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7175.915.20 Cabeça de Cerâmica 12/14
100799370;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3244HCT (Núcleo Acetabular Reto HC de PE)
100799388;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7172.055.20 Cabeça de Cerâmica 12/14
100799396;SISTEMA ACETABULAR VERSAFITCUP CC - 38.49.7175.905.20 Cabeça de Cerâmica 12/14
100799400;SISTEMA ACETABULAR VERSAFITCUP CC - 25050.3201 Cabeça de Cerâmica 12/14
100799418;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0054 Componente Acetabular CC TRIO 54
100799426;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.58MBTL Componente Acetabular CC Light
100799434;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.56MBTL Componente Acetabular CC Light
100799442;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.64MBTL Componente Acetabular CC Light
100799450;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.2852HCT (Núcleo Acetabular Reto HC de PE)
100799469;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.65.40 (Parafuso Esponjoso com cabeça reta)
100799477;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3244STT (Núcleo Acetabular Reto de PE)
100799485;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.45.0058 Componente Acetabular CC TRIO 58
100799493;SISTEMA ACETABULAR VERSAFITCUP CC - 01.26.3248HCT (Núcleo Acetabular Reto HC de PE)
100837018;SISTEMA DE STENT CORONÁRIO CHROMIUM
100837026;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7935021
100837034;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7627524
100837042;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7622512
100837050;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7935018
100837069;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7627515
100837077;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7625015
100837085;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7930018
100837093;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7622509
100837107;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7622521
100837115;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7930021
100837123;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7625028
100837131;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7622515
100837140;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7622518
100837158;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7622524
100837166;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7935015
100837174;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7935012
100837182;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7625018
100837190;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7935028
100837204;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7627509
100837212;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7930028
100837220;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7625021
100837239;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7627512
100837247;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7930024
100837255;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7930012
100837263;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7625009
100837271;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7627518
100837280;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7625024
100837298;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7625012
100837301;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7627521
100837310;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7935024
100837328;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7627528
100837336;SISTEMA DE STENT CORONÁRIO CHROMIUM - BS7930015
100839126;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF
100839134;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100004 - CI 47/22,2 E
100839142;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100013 - CI 63/22,2 E
100839150;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100017 - CI 71/22,2 E
100839169;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100012 - CI 61/22,2 E
100839177;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100038 - CI 59/28 E
100839185;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100043 - CI 67/28 E
100839193;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100044 - CI 69/28 E
100839207;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100008 - CI 55/22,2 E
100839215;FAMÍLIA DE INSERTOS POLIMÉRICOS CIE SERF - RM51100006 - CI 51/22,2 E
