Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
30404045;Enxerto total do nervo facial intratemporal;2009-02-13;;2010-10-15
30404053;Exploração e descompressão total do nervo facial (transmastóideo, translabiríntico, fossa média);2009-02-13;;2010-10-15
30404061;Implante coclear (exceto a prótese);2009-02-13;;2010-10-15
30404070;Injeção de drogas intratimpânicas;2009-02-13;;2010-10-15
30404088;Labirintectomia (membranosa ou óssea) - sem audição;2009-02-13;;2010-10-15
30404096;Neurectomia vestibular para fossa média ou posterior;2009-02-13;;2010-10-15
30404100;Neurectomia vestibular translabiríntica - sem audição;2009-02-13;;2010-10-15
30404126;Ressecção do osso temporal;2009-02-13;;2010-10-15
30404134;Tumor do nervo acústico - ressecção via translabiríntica ou fossa média;2009-02-13;;2010-10-15
30404142;Doença de Meniere - tratamento cirúrgico com ultrassom;2009-02-13;;2010-10-15
30404150;Procedimento cirúrgico de implante coclear unilateral (primeira implantação ou substituição);2021-08-01;;2021-10-31
30404169;Substituição do ímã do implante coclear unilateral;2021-08-01;;2021-10-31
30404177;Cirurgia para prótese auditiva percutânea ancorada no osso unilateral (primeira implantação ou substituição);2016-01-01;;2016-03-31
30404185;Neurotelemetria transoperatória do implante coclear unilateral;2021-08-01;;2021-10-31
30501016;Abscesso ou hematoma de septo nasal - drenagem;2009-02-13;;2010-10-15
30501024;Abscesso ou hematoma de septo nasal - drenagem sob anestesia geral;2009-02-13;;2010-10-15
30501040;Alongamento de columela;2009-02-13;;2010-10-15
30501059;Biópsia de nariz;2009-02-13;;2010-10-15
30501067;Corneto inferior - cauterização linear - unilateral;2009-02-13;;2010-10-15
30501075;Corneto inferior - infiltração medicamentosa (unilateral);2009-02-13;;2010-10-15
30501083;Corpos estranhos - retirada em consultório (nariz);2009-02-13;;2010-10-15
30501091;Corpos estranhos - retirada sob anestesia geral / hospital (nariz);2009-02-13;;2010-10-15
30501113;Epistaxe - cauterização (qualquer técnica);2009-02-13;;2010-10-15
30501121;Epistaxe - cauterização da artéria esfenopalatina com microscopia - unilateral;2009-02-13;;2010-10-15
30501130;Epistaxe - cauterização das artérias etmoidais com microscopia - unilateral;2009-02-13;;2010-10-15
30501148;Epistaxe - ligadura das artérias etmoidais - acesso transorbitário - unilateral;2009-02-13;;2010-10-15
30501156;Epistaxe - tamponamento  antero-posterior;2009-02-13;;2010-10-15
30501164;Epistaxe - tamponamento anterior;2009-02-13;;2010-10-15
30501172;Epistaxe - tamponamento antero-posterior sob anestesia geral;2009-02-13;;2010-10-15
30501180;Exérese de tumor com abordagem craniofacial oncológica (tempo facial) pirâmide nasal;2009-02-13;;2010-10-15
30501199;Exérese de tumor nasal por via endoscopica;2009-02-13;;2010-10-15
30501202;Fechamento de fístula liquórica transnasal;2009-02-13;;2010-10-15
30501210;Fístula liquórica - tratamento cirúrgico endoscópico intranasal;2009-02-13;;2010-10-15
30501229;Fraturas dos ossos nasais - redução cirúrgica e gesso;2009-02-13;;2010-10-15
30501237;Fraturas dos ossos nasais - redução incruenta e gesso;2009-02-13;;2010-10-15
30501245;Imperfuração coanal - correção cirúrgica intranasal;2009-02-13;;2010-10-15
30501253;Imperfuração coanal - correção cirúrgica transpalatina;2009-02-13;;2010-10-15
30501261;Ozena - tratamento cirúrgico;2009-02-13;;2010-10-15
30501270;Perfuração do septo nasal - correção cirúrgica;2009-02-13;;2010-10-15
30501288;Polipectomia - unilateral (nariz);2009-02-13;;2010-10-15
30501296;Reconstrução de unidade anatômica do nariz - por estágio;2009-02-13;;2010-10-15
30501300;Reconstrução total de nariz - por estágio;2009-02-13;;2010-10-15
30501318;Ressecção de tumores malignos transnasais;2009-02-13;;2010-10-15
30501326;Rinectomia parcial;2009-02-13;;2010-10-15
30501334;Rinectomia total;2009-02-13;;2010-10-15
30501342;Rinoplastia reparadora;2009-02-13;;2010-10-15
30501350;Rinosseptoplastia funcional;2009-02-13;;2010-10-15
30501369;Septoplastia (qualquer técnica sem vídeo);2009-02-13;;2010-10-15
30501377;Sinéquia nasal - ressecção unilateral - qualquer técnica;2009-02-13;;2010-10-15
30501385;Tratamento cirúrgico da atresia narinária;2009-02-13;;2010-10-15
30501393;Tratamento cirúrgico de deformidade nasal congênita;2009-02-13;;2010-10-15
30501407;Tratamento cirúrgico do rinofima;2009-02-13;;2010-10-15
30501415;Tratamento cirúrgico reparador do nariz em sela;2009-02-13;;2010-10-15
30501423;Tratamento de deformidade traumática nasal;2009-02-13;;2010-10-15
30501431;Tumor intranasal - exérese por rinotomia lateral;2009-02-13;;2010-10-15
30501440;Tumor intranasal - exérese por via transnasal;2009-02-13;;2010-10-15
30501458;Turbinectomia ou turbinoplastia - unilateral;2009-02-13;;2010-10-15
30501466;Turbinoplastia por radiofrequência;2009-02-13;;2010-10-15
30501474;Corpos estranhos - retirada sob anestesia geral / hospital (nariz) - por videoendoscopia;2009-02-13;;2010-10-15
30501482;Epistaxe - cauterização da artéria esfenopalatina com microscopia - unilateral por videoendoscopia;2009-02-13;;2010-10-15
30501490;Imperfuração coanal - correção cirúrgica intranasal por videoendoscopia;2009-02-13;;2010-10-15
30501504;Ozena - tratamento cirúrgico por videoendoscopia;2009-02-13;;2010-10-15
30501512;Perfuração do septo nasal - correção cirúrgica por videoendoscopia;2009-02-13;;2010-10-15
30501520;Rinosseptoplastia funcional por videoendoscopia;2009-02-13;;2010-10-15
30501539;Septoplastia por videoendoscopia;2009-02-13;;2010-10-15
30501547;Fratura de osso próprio de nariz - tratamento conservador;2009-02-13;;2010-10-15
30502012;Angiofibroma - ressecção transmaxilar e/ou transpalatina;2009-02-13;;2010-10-15
30502020;Antrostomia maxilar intranasal;2009-02-13;;2010-10-15
30502039;Artéria maxilar interna - ligadura transmaxilar;2009-02-13;;2010-10-15
30502047;Cisto naso-alveolar e globular - exérese;2009-02-13;;2010-10-15
30502063;Descompressão transetmoidal do canal óptico;2009-02-13;;2010-10-15
30502071;Etmoidectomia externa;2009-02-13;;2010-10-15
30502080;Etmoidectomia intranasal;2009-02-13;;2010-10-15
30502098;Exérese de tumor com abordagem craniofacial oncológica seios...(tempo facial);2009-02-13;;2010-10-15
30502101;Exérese de tumor de seios paranasais por via endoscopica;2009-02-13;;2010-10-15
30502110;Fístula oro-antral - tratamento cirúrgico;2009-02-13;;2010-10-15
30502128;Fístula oronasal - tratamento cirúrgico;2009-02-13;;2010-10-15
30502136;Maxilectomia incluindo exenteração de órbita;2009-02-13;;2010-10-15
30502144;Maxilectomia parcial;2009-02-13;;2010-10-15
30502152;Maxilectomia total;2009-02-13;;2010-10-15
30502160;Pólipo antro-coanal de Killiam - exérese;2009-02-13;;2010-10-15
30502179;Punção maxilar transmeática ou via fossa canina;2009-02-13;;2010-10-15
30502187;Ressecção de tumor benigno;2009-02-13;;2010-10-15
30502195;Biópsia de seios paranasais - qualquer via;2009-02-13;;2010-10-15
30502209;Sinusectomia maxilar - via endonasal;2009-02-13;;2010-10-15
30502217;Sinusectomia frontal com retalho osteoplástico ou via coronal;2009-02-13;;2010-10-15
30502225;Sinusectomia fronto-etmoidal por via externa;2009-02-13;;2010-10-15
30502233;Sinusectomia maxilar - via oral (Caldwell-Luc);2009-02-13;;2010-10-15
30502241;Sinusectomia transmaxilar (Ermiro de Lima);2009-02-13;;2010-10-15
30502250;Sinusotomia esfenoidal;2009-02-13;;2010-10-15
30502268;Sinusotomia frontal intranasal;2009-02-13;;2010-10-15
30502276;Sinusotomia frontal via externa;2009-02-13;;2010-10-15
30502284;Antrostomia maxilar, etmoidectomia etc a laser (abertura de todas as cavidades paranasais a laser);2009-02-13;2017-07-09;2010-10-15
30502292;Antrostomia maxilar intranasal por videoendoscopia;2009-02-13;;2010-10-15
30502306;Artéria maxilar interna - ligadura transmaxilar por videoendoscopia;2009-02-13;;2010-10-15
30502314;Etmoidectomia intranasal por videoendoscopia;2009-02-13;;2010-10-15
30502322;Sinusectomia maxilar - via endonasal por videoendoscopia;2009-02-13;;2010-10-15
30502349;Sinusotomia esfenoidal por videoendoscopia;2009-02-13;;2010-10-15
30502357;Sinusotomia frontal intranasal por videoendoscopia;2009-02-13;;2010-10-15
30502365;Sinusotomia frontal intranasal com balão por videoendoscopia;2012-10-10;;2014-08-31
30601010;Correção de deformidades da parede torácica;2009-02-13;;2010-10-15
30601029;Costectomia;2009-02-13;;2010-10-15
30601037;Esternectomia subtotal;2009-02-13;;2010-10-15
30601045;Esternectomia total;2009-02-13;;2010-10-15
30601053;Fechamento de pleurostomia;2009-02-13;;2010-10-15
30601070;Mobilização de retalhos musculares ou do omento;2009-02-13;;2010-10-15
30601088;Plumbagem extrafascial;2009-02-13;;2010-10-15
30601096;Reconstrução da parede torácica (com ou sem prótese);2009-02-13;;2010-10-15
30601100;Reconstrução da parede torácica com retalhos cutâneos;2009-02-13;;2010-10-15
30601118;Reconstrução da parede torácica com retalhos musculares ou miocutâneos;2009-02-13;;2010-10-15
30601126;Reconstrução da região esternal com retalhos musculares bilaterais;2009-02-13;;2010-10-15
30601134;Ressecção de tumor do diafragma e reconstrução (qualquer técnica);2009-02-13;;2010-10-15
30601142;Retirada de corpo estranho da parede torácica;2009-02-13;;2010-10-15
30601150;Toracectomia;2009-02-13;;2010-10-15
30601169;Toracoplastia (qualquer técnica);2009-02-13;;2010-10-15
30601177;Toracotomia com biópsia;2009-02-13;;2010-10-15
30601185;Toracotomia exploradora (excluídos os procedimentos intratorácicos);2009-02-13;;2010-10-15
30601193;Toracotomia para procedimentos ortopédicos sobre a coluna vertebral;2009-02-13;;2010-10-15
30601207;Tração esquelética do gradil costo-esternal (traumatismo);2009-02-13;;2010-10-15
30601215;Tratamento cirúrgico de fraturas do gradil costal;2009-02-13;;2010-10-15
30601223;Biópsia cirúrgica de costela ou esterno;2009-02-13;;2010-10-15
30601231;Fratura luxação de esterno ou costela - redução incruenta;2009-02-13;;2010-10-15
30601240;Fratura luxação de esterno ou costela - tratamento cirúrgico;2009-02-13;;2010-10-15
30601258;Osteomielite de costela ou esterno - tratamento cirúrgico;2009-02-13;;2010-10-15
30601266;Punção biópsia de costela ou esterno;2009-02-13;;2010-10-15
30601274;Correção de deformidades da parede torácica por vídeo;2009-02-13;;2010-10-15
30601282;Vídeo para procedimentos sobre a coluna vertebral;2009-02-13;;2010-10-15
30601290;Ressutura de parede torácica;2009-02-13;;2010-10-15
30601304;Fratura de costela ou esterno - tratamento conservador;2009-02-13;;2010-10-15
30601312;Osteomielite de costela ou esterno - tratamento conservador;2009-02-13;;2010-10-15
30602017;Biópsia incisional de mama;2009-02-13;;2010-10-15
30602025;Coleta de fluxo papilar de mama;2009-02-13;;2010-10-15
30602033;Correção cirúrgica da assimetria mamária;2009-02-13;;2010-10-15
30602041;Correção de inversão papilar - unilateral;2009-02-13;;2010-10-15
30602050;Drenagem de abscesso de mama;2009-02-13;;2010-10-15
30602068;Drenagem e/ou aspiração de seroma;2009-02-13;;2010-10-15
30602076;Exérese de lesão da mama por marcação estereotáxica ou roll;2009-02-13;;2010-10-15
30602084;Exérese de mama supra-numerária - unilateral;2009-02-13;;2010-10-15
30602092;Exérese de nódulo;2009-02-13;;2010-10-15
30602106;Fistulectomia de mama;2009-02-13;;2010-10-15
30602114;Ginecomastia - unilateral;2009-02-13;;2010-10-15
30602122;Correção da hipertrofia mamária - unilateral;2009-02-13;;2010-10-15
30602130;Linfadenectomia axilar;2009-02-13;;2010-10-15
30602149;Mastectomia radical ou radical modificada - qualquer técnica;2009-02-13;;2010-10-15
30602157;Mastectomia simples;2009-02-13;;2010-10-15
30602165;Mastectomia subcutânea e inclusão da prótese;2009-02-13;;2010-10-15
30602173;Mastoplastia em mama oposta após reconstrução da contralateral;2009-02-13;;2010-10-15
30602181;Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama);2009-02-13;;2010-10-15
30602190;Quadrantectomia e linfadenectomia axilar;2009-02-13;;2010-10-15
30602203;Quadrantectomia - ressecção segmentar;2009-02-13;;2010-10-15
30602211;Reconstrução da placa aréolo mamilar - unilateral;2009-02-13;;2010-10-15
30602238;Reconstrução mamária com retalho muscular ou miocutâneo - unilateral;2009-02-13;;2010-10-15
30602246;Reconstrução mamária com retalhos cutâneos regionais;2009-02-13;;2010-10-15
30602254;Reconstrução parcial da mama pós-quadrantectomia;2009-02-13;;2010-10-15
30602262;Reconstrução da mama com prótese e/ou expansor;2009-02-13;;2010-10-15
30602289;Ressecção do linfonodo sentinela / torácica lateral;2009-02-13;;2010-10-15
30602297;Ressecção do linfonodo sentinela / torácica medial;2009-02-13;;2010-10-15
30602300;Ressecção dos ductos principais da mama - unilateral;2009-02-13;;2010-10-15
30602319;Retirada da válvula após colocação de expansor permanente;2009-02-13;;2010-10-15
30602327;Substituição de prótese;2009-02-13;;2010-10-15
30602335;Biópsia percutânea com agulha grossa, em consultório;2010-09-09;;2010-10-15
30602343;Linfadenectomia por incisão extra-axilar;2010-09-09;;2010-10-15
30602351;Mamoplastia;2012-10-10;;2014-08-31
30602360;Mamoplastia feminina (com ou sem uso de implantes mamários) pós-bariátrica;2021-08-01;;2021-10-31
30602378;Mamoplastia masculina pós-bariátrica;2021-08-01;;2021-10-31
30602386;Adenomastectomia / mastectomia preservadora de pele, aréola e papila;2021-08-01;;2021-10-31
30602394;Adenomastectomia com redução de excesso de pele;2021-08-01;;2021-10-31
30602408;Capsulectomia - ressecção de cápsula da prótese unilateral;2021-08-01;;2021-10-31
30602416;Mastectomia preservadora de pele;2021-08-01;;2021-10-31
30602424;Papilectomia de mama - unilateral ;2021-08-01;;2021-10-31
30602432;Reconstrução mamária com retalho livre microcirúrgico;2021-08-01;;2021-10-31
30602440;Reposicionamento com complexo aréolo-papilar - unilateral;2021-08-01;;2021-10-31
30602459;Retirada de prótese de mama - unilateral;2021-08-01;;2021-10-31
30602467;Reconstrução mamária com retalho miocutâneo de grande dorsal ;2021-08-01;;2021-10-31
30701015;Abdominal ou hipogástrico - transplantes cutâneos;2009-02-13;;2010-10-15
30701023;Antebraço  - transplantes cutâneos;2009-02-13;;2010-10-15
30701031;Axilar - transplantes cutâneos;2009-02-13;;2010-10-15
30701040;Couro cabeludo - transplantes cutâneos;2009-02-13;;2010-10-15
30701058;Deltopeitoral - transplantes cutâneos;2009-02-13;;2010-10-15
30701066;Digitais (da face volar e látero-cubital dos dedos médio e anular da mão) - transplantes cutâneos;2009-02-13;;2010-10-15
30701074;Digital do hallux - transplantes cutâneos;2009-02-13;;2010-10-15
30701082;Dorsal do pé - transplantes cutâneos;2009-02-13;;2010-10-15
30701090;Escapular - transplantes cutâneos;2009-02-13;;2010-10-15
30701104;Femoral - transplantes cutâneos;2009-02-13;;2010-10-15
30701112;Fossa poplítea - transplantes cutâneos;2009-02-13;;2010-10-15
30701120;Inguino-cural - transplantes cutâneos;2009-02-13;;2010-10-15
30701139;Intercostal - transplantes cutâneos;2009-02-13;;2010-10-15
30701147;Interdigital da 1ª comissura dos dedos do pé - transplantes cutâneos;2009-02-13;;2010-10-15
30701155;Outros transplantes cutâneos;2009-02-13;;2010-10-15
30701163;Paraescapular;2009-02-13;;2010-10-15
30701171;Retroauricular;2009-02-13;;2010-10-15
30701180;Temporal;2009-02-13;;2010-10-15
30701198;Transplante cutâneo com microanastomose;2009-02-13;;2010-10-15
30701201;Transplante cutâneo sem microanastomose, ilha neurovascular;2009-02-13;;2010-10-15
30701210;Transplante miocutâneo com microanastomose;2009-02-13;;2010-10-15
30702011;Grande dorsal (latissimus dorsi) - transplantes músculo-cutâneos com microanastomoses vasculares;2009-02-13;;2010-10-15
30702020;Grande glúteo (gluteus maximus);2009-02-13;;2010-10-15
30702038;Outros transplantes músculo-cutâneos;2009-02-13;;2010-10-15
30702046;Reto abdominal (rectus abdominis);2009-02-13;;2010-10-15
30702054;Reto interno (gracilis) - transplantes músculo-cutâneos com microanastomoses vasculares;2009-02-13;;2010-10-15
30702062;Serrato maior (serratus) - transplantes músculo-cutâneos com microanastomoses vasculares;2009-02-13;;2010-10-15
30702070;Tensor da fascia lata (tensor fascia lata) - transplantes músculo-cutâneos com microanastomoses vasculares;2009-02-13;;2010-10-15
30702089;Trapézio (trapezius);2009-02-13;;2010-10-15
30703018;Bíceps femoral (biceps femoris);2009-02-13;;2010-10-15
30703026;Extensor comum dos dedos (extensor digitorum longus);2009-02-13;;2010-10-15
30703034;Extensor próprio do dedo gordo (extensor hallucis longus);2009-02-13;;2010-10-15
30703042;Flexor curto plantar (flexor digitorum brevis);2009-02-13;;2010-10-15
30703050;Grande dorsal (latissimus dorsi) - transplantes musculares com microanastomoses vasculares;2009-02-13;;2010-10-15
30703069;Grande peitoral (pectoralis major);2009-02-13;;2010-10-15
30703077;Músculo pédio (extensor digitorum brevis);2009-02-13;;2010-10-15
30703085;Os músculos latissimus dorsi, gracilis, rectus femoris, tensor fascia lata, flexor digitorum brevis, quando transplantados com sua inervação e praticada a microneurorrafia com finalidade de restaurar função e sensibilidade, serão considerados retalhos neu;2009-02-13;2019-02-28;2010-10-15
30703085;Os músculos latissimus dorsi, gracilis, rectus femoris, tensor fascia lata, flexor digitorum brevis, quando transplantados com sua inervação e praticada a microneurorrafia com finalidade de restaurar função e sensibilidade, serão considerados retalhos neurovasculares livres e terão acréscimo do porte.;2019-03-01;;2010-10-15
30703093;Outros transplantes musculares;2009-02-13;;2010-10-15
30703107;Primeiro radial externo (extensor carpi radialis longus);2009-02-13;;2010-10-15
30703115;Reto anterior (rectus femoris);2009-02-13;;2010-10-15
30703123;Reto interno (gracilis) - transplantes musculares com microanastomoses vasculares;2009-02-13;;2010-10-15
30703131;Sartório (sartorius);2009-02-13;;2010-10-15
30703140;Semimembranoso (semimembranosus);2009-02-13;;2010-10-15
30703158;Semitendinoso (semitendinosus);2009-02-13;;2010-10-15
30703166;Serrato maior (serratus) - transplantes musculares com microanastomoses vasculares;2009-02-13;;2010-10-15
30703174;Supinador longo (brachioradialis);2009-02-13;;2010-10-15
30703182;Tensor da fascia lata (tensor fascia lata) - transplantes musculares com microanastomoses vasculares;2009-02-13;;2010-10-15
30704014;Costela;2009-02-13;;2010-10-15
30704022;Ilíaco;2009-02-13;;2010-10-15
30704030;Osteocutâneo de ilíaco;2009-02-13;;2010-10-15
30704049;Osteocutâneos de costela;2009-02-13;;2010-10-15
30704057;Osteomusculocutâneo de costela;2009-02-13;;2010-10-15
30704065;Outros transplantes ósseos e osteomusculocutâneos;2009-02-13;;2010-10-15
30704073;Perônio ou fíbula;2009-02-13;;2010-10-15
30704081;Transplante ósseo vascularizado (microanastomose);2009-02-13;;2010-10-15
30705010;Autotransplante de dois retalhos  musculares combinados, isolados e associados entre si, ligados por um único pedículo;2009-02-13;;2010-10-15
30705029;Autotransplante de dois retalhos cutâneos combinados, isolados e associados entre si, ligados por um único pedículo vascular;2009-02-13;;2010-10-15
30705037;Autotransplante de dois retalhos,  um  cutâneo  combinado a um muscular,  isolados  e associados entre si, ligados por um único pedículo vascular;2009-02-13;;2010-10-15
30705045;Autotransplante de dois retalhos, um cutâneo combinado a retalho osteomuscular, isolados e associados entre sí, ligados por um único pedículo vascular;2009-02-13;;2010-10-15
30705053;Autotransplante de epiplon;2009-02-13;;2010-10-15
30705061;Autotransplante de outros retalhos,  isolados  entre  si, e associados mediante um único pedículo vascular comuns aos retalhos;2009-02-13;;2010-10-15
30705070;Autotransplante de três retalhos, um cutâneo separado, combinado a outros dois retalhos musculares isolados e associados, ligados por um único pedículo vascular;2009-02-13;;2010-10-15
30705100;Reimplante de segmentos distais do membro superior, com ressecção segmentar;2009-02-13;;2010-10-15
30706017;Reimplante do membro inferior do nível médio proximal da perna até a coxa;2009-02-13;;2010-10-15
30706025;Reimplante do membro inferior do pé até o terço médio da perna;2009-02-13;;2010-10-15
30706033;Reimplante do membro superior, do nível médio do antebraço até o ombro;2009-02-13;;2010-10-15
30707013;Transplante articular de metatarsofalângica para a mão;2009-02-13;;2010-10-15
30707021;Transplante de 2º pododáctilo para mão;2009-02-13;;2010-10-15
30707030;Transplante de dedos do pé para a mão;2009-02-13;;2010-10-15
30707048;Transplante do 2º pododáctilo para o polegar;2009-02-13;;2010-10-15
30707056;Transplante do hallux para polegar;2009-02-13;;2010-10-15
30707064;Transplante de dois pododáctilos para a mão;2009-02-13;;2010-10-15
30709016;Instalação de halo craniano;2009-02-13;;2010-10-15
30709024;Tração cutânea;2009-02-13;;2010-10-15
30709032;Tração transesquelética (por membro);2009-02-13;;2010-10-15
30710014;Retirada de fios ou pinos metálicos transósseos;2009-02-13;;2010-10-15
30710022;Retirada de fios, pinos, parafusos ou hastes metálicas intra-ósseas;2009-02-13;;2010-10-15
30710030;Retirada de placas;2009-02-13;;2010-10-15
30710049;Retirada de próteses de substituição de pequenas articulações;2009-02-13;;2010-10-15
30710057;Retirada de fixadores externos;2009-02-13;;2010-10-15
30710065;Retirada de prótese de substituição (grandes e médias articulações);2012-10-10;;2014-08-31
30711010;Imobilizações não-gessadas (qualquer segmento);2009-02-13;;2010-10-15
30711029;Imobilização de membro inferior;2009-02-13;;2010-10-15
30711037;Imobilização de membro superior;2009-02-13;;2010-10-15
30712017;Áxilo-palmar ou pendente;2009-02-13;;2010-10-15
30712025;Bota com ou sem salto;2009-02-13;;2010-10-15
30712033;Colar;2009-02-13;;2010-10-15
30712041;Colete;2009-02-13;;2010-10-15
30712050;Cruro-podálico;2009-02-13;;2010-10-15
30712068;Dupla abdução ou Ducroquet;2009-02-13;;2010-10-15
30712076;Halo-gesso;2009-02-13;;2010-10-15
30712084;Inguino-maleolar;2009-02-13;;2010-10-15
30712092;Luva;2009-02-13;;2010-10-15
30712106;Minerva ou Risser para escoliose;2009-02-13;;2010-10-15
30712114;Pelvipodálico;2009-02-13;;2010-10-15
30712122;Spica-gessada;2009-02-13;;2010-10-15
30712130;Tipo Velpeau;2009-02-13;;2010-10-15
30712149;Tóraco-braquial;2009-02-13;;2010-10-15
30713021;Biópsia óssea;2009-02-13;;2010-10-15
30713030;Biópsias percutânea sinovial ou de tecidos moles;2009-02-13;;2010-10-15
30713048;Enxertos em outras pseudartroses;2009-02-13;;2010-10-15
30713064;Manipulação articular sob anestesia geral;2009-02-13;;2010-10-15
30713072;Retirada de enxerto ósseo;2009-02-13;;2010-10-15
30713137;Punção articular diagnóstica ou terapêutica (infiltração) - orientada ou não por método de imagem;2009-02-13;;2010-10-15
30713145;Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco) - orientada ou não por método de imagem;2009-02-13;;2010-10-15
30713153;Artroscopia para diagnóstico com ou sem biópsia sinovial;2009-02-13;;2010-10-15
30714010;Corpo estranho intra-articular - tratamento cirúrgico;2009-02-13;;2010-10-15
30714028;Corpo estranho intra-ósseo - tratamento cirúrgico;2009-02-13;;2010-10-15
30714036;Corpo estranho intramuscular - tratamento cirúrgico;2009-02-13;;2010-10-15
30715016;Artrodese da coluna com instrumentação por segmento;2009-02-13;;2010-10-15
30715024;Artrodese de coluna via anterior ou póstero lateral - tratamento cirúrgico;2009-02-13;;2010-10-15
30715032;Biópsia da coluna;2009-02-13;;2010-10-15
30715040;Biópsia de corpo vertebral com agulha;2009-02-13;;2010-10-15
30715059;Cirurgia de coluna por via endoscópica;2009-02-13;;2010-10-15
30715067;Cordotomia - mielotomia;2009-02-13;;2010-10-15
30715075;Costela cervical - tratamento cirúrgico;2009-02-13;;2010-10-15
30715083;Derivação lombar externa;2009-02-13;;2010-10-15
30715091;Descompressão medular e/ou cauda equina;2009-02-13;;2010-10-15
30715105;Dorso curvo / escoliose / giba costal - tratamento cirúrgico;2009-02-13;;2010-10-15
30715113;Espondilolistese - tratamento cirúrgico;2009-02-13;;2010-10-15
30715121;Fratura de coluna sem gesso - tratamento conservador;2009-02-13;;2010-10-15
30715130;Fratura do cóccix - redução incruenta;2009-02-13;;2010-10-15
30715148;Fratura do cóccix - tratamento cirúrgico;2009-02-13;;2010-10-15
30715156;Fratura e/ou luxação de coluna vertebral - redução incruenta;2009-02-13;;2010-10-15
30715164;Fraturas ou fratura-luxação de coluna - tratamento cirúrgico;2009-02-13;;2010-10-15
30715172;Hemivértebra - ressecção via anterior ou posterior - tratamento cirúrgico;2009-02-13;;2010-10-15
30715180;Hérnia de disco tóraco-lombar - tratamento cirúrgico;2009-02-13;;2010-10-15
30715199;Laminectomia ou laminotomia;2009-02-13;;2010-10-15
30715202;Microcirurgia para tumores extra-intradurais;2010-09-09;;2010-10-15
30715210;Osteomielite de coluna - tratamento cirúrgico;2009-02-13;;2010-10-15
30715229;Osteotomia de coluna vertebral - tratamento cirúrgico;2009-02-13;;2010-10-15
30715237;Outras afecções da coluna - tratamento incruento;2009-02-13;;2010-10-15
30715245;Pseudartrose de coluna - tratamento cirúrgico;2009-02-13;;2010-10-15
30715253;Punção liquórica;2009-02-13;;2010-10-15
30715261;Retirada de corpo estranho - tratamento cirúrgico;2009-02-13;;2010-10-15
30715270;Retirada de material de síntese - tratamento cirúrgico;2009-02-13;;2010-10-15
30715288;Substituição de corpo vertebral;2009-02-13;;2010-10-15
30715296;Tração cervical transesquelética;2009-02-13;;2010-10-15
30715300;Tratamento cirúrgico da cifose infantil;2009-02-13;;2010-10-15
30715318;Tratamento cirúrgico da lesão traumática raquimedular;2009-02-13;;2010-10-15
30715326;Tratamento cirúrgico das malformações craniovertebrais;2009-02-13;;2010-10-15
30715334;Tratamento cirúrgico do disrafismo espinhal;2009-02-13;;2010-10-15
30715342;Tratamento conservador do traumatismo raquimedular (por dia);2009-02-13;;2010-10-15
30715350;Tratamento microcirúrgico das lesões intramedulares (tumor, malformações arteriovenosas, siringomielia, parasitoses);2009-02-13;;2010-10-15
30715369;Tratamento microcirúrgico do canal vertebral estreito por segmento;2009-02-13;;2010-10-15
30715377;Tratamento pré-natal dos disrafismos espinhais;2009-02-13;;2010-10-15
30715385;Tumor ósseo vertebral - ressecção com substituição com ou sem instrumentação - tratamento cirúrgico;2009-02-13;;2010-10-15
30715393;Hérnia de disco cervical - tratamento cirúrgico;2009-02-13;;2010-10-15
30715407;Fratura de coluna com gesso - tratamento conservador;2009-02-13;;2010-10-15
30715423;Radiculotomia;2009-02-13;;2010-10-15
30715598;Artroplastia discal de coluna vertebral;2021-04-01;;2021-06-30
30717019;Artrodese ao nível do ombro - tratamento cirúrgico;2009-02-13;;2010-10-15
30717027;Artroplastia escápulo umeral com implante - tratamento cirúrgico;2009-02-13;;2010-10-15
30717035;Artrotomia glenoumeral - tratamento cirúrgico;2009-02-13;;2010-10-15
30717043;Biópsia cirúrgica da cintura escapular;2009-02-13;;2010-10-15
30717051;Deformidade (doença) Sprengel - tratamento cirúrgico;2009-02-13;;2010-10-15
30717060;Desarticulação ao nível do ombro - tratamento cirúrgico;2009-02-13;;2010-10-15
30717078;Escápula em ressalto - tratamento cirúrgico;2009-02-13;;2010-10-15
30717086;Fratura de cintura escapular - tratamento conservador;2009-02-13;;2010-10-15
30717094;Fraturas e/ou luxações e/ou avulsões - redução incruenta - em articulação escápulo-umeral e cintura escapular;2009-02-13;;2010-10-15
30717108;Fraturas e/ou luxações e/ou avulsões - tratamento cirúrgico - em articulação escápulo-umeral e cintura escapular;2009-02-13;;2010-10-15
30717116;Luxações crônicas inveteradas e recidivantes - tratamento cirúrgico - em articulação escápulo-umeral e cintura escapular;2009-02-13;;2010-10-15
30717124;Osteomielite ao nível da cintura escapular - tratamento cirúrgico;2009-02-13;;2010-10-15
30717132;Pseudartroses e/ou osteotomias da cintura escapular - tratamento cirúrgico;2009-02-13;;2010-10-15
30717140;Ressecção parcial ou total de clavícula - tratamento cirúrgico;2009-02-13;;2010-10-15
30717159;Revisão cirúrgica de prótese de ombro;2009-02-13;;2010-10-15
