cd_procedimento,termo,categoria
31309127,Parto (via vaginal),Feminino
31309127,Parto (via vaginal),N. I.
31401015,Biópsia estereotáxica de encéfalo,Masculino
31401015,Biópsia estereotáxica de encéfalo,Feminino
31401015,Biópsia estereotáxica de encéfalo,N. I.
31401104,Implante de eletrodos cerebral ou medular,Masculino
31401104,Implante de eletrodos cerebral ou medular,Feminino
31401104,Implante de eletrodos cerebral ou medular,N. I.
31401155,Microcirurgia para tumores intracranianos,Masculino
31401155,Microcirurgia para tumores intracranianos,Feminino
31401155,Microcirurgia para tumores intracranianos,N. I.
31401260,Tratamento cirúrgico da fístula liquórica,Masculino
31401260,Tratamento cirúrgico da fístula liquórica,Feminino
31401260,Tratamento cirúrgico da fístula liquórica,N. I.
31401309,Tratamento cirúrgico do hematoma intracraniano,Masculino
31401309,Tratamento cirúrgico do hematoma intracraniano,Feminino
31401309,Tratamento cirúrgico do hematoma intracraniano,N. I.
31402038,Tampão sanguíneo peridural para tratamento de cefaléia após punção (não indicada na profilaxia da cefaléia),Masculino
31402038,Tampão sanguíneo peridural para tratamento de cefaléia após punção (não indicada na profilaxia da cefaléia),Feminino
31402038,Tampão sanguíneo peridural para tratamento de cefaléia após punção (não indicada na profilaxia da cefaléia),N. I.
31403018,Biópsia de nervo,Masculino
31403018,Biópsia de nervo,Feminino
31403018,Biópsia de nervo,N. I.
31403034,Denervação percutânea de faceta articular - por segmento,Masculino
31403034,Denervação percutânea de faceta articular - por segmento,Feminino
31403034,Denervação percutânea de faceta articular - por segmento,N. I.
31403140,Implante de gerador para neuroestimulação,Masculino
31403140,Implante de gerador para neuroestimulação,Feminino
31403140,Implante de gerador para neuroestimulação,N. I.
31403220,Microneurólise múltiplas,Masculino
31403220,Microneurólise múltiplas,Feminino
31403220,Microneurólise múltiplas,N. I.
31403271,Microneurorrafia única,Masculino
31403271,Microneurorrafia única,Feminino
31403271,Microneurorrafia única,N. I.
31403280,Neurólise das síndromes compressivas,Masculino
31403280,Neurólise das síndromes compressivas,Feminino
31403280,Neurólise das síndromes compressivas,N. I.
31403301,Reposição de fármaco(s) em bombas implantadas,Masculino
31403301,Reposição de fármaco(s) em bombas implantadas,Feminino
31403301,Reposição de fármaco(s) em bombas implantadas,N. I.
31501010,Transplante de córnea,Masculino
31501010,Transplante de córnea,Feminino
31501010,Transplante de córnea,N. I.
31501010,Transplante penetrante da córnea,Masculino
31501010,Transplante penetrante da córnea,Feminino
31501010,Transplante penetrante da córnea,N. I.
31602029,Analgesia por dia subsequente. Acompanhamento de analgesia por cateter peridural,Masculino
31602029,Analgesia por dia subsequente. Acompanhamento de analgesia por cateter peridural,Feminino
31602029,Analgesia por dia subsequente. Acompanhamento de analgesia por cateter peridural,N. I.
31602061,Bloqueio anestésico de simpático lombar,Masculino
31602061,Bloqueio anestésico de simpático lombar,Feminino
31602061,Bloqueio anestésico de simpático lombar,N. I.
31602070,Bloqueio anestésico simpático,Masculino
31602070,Bloqueio anestésico simpático,Feminino
31602070,Bloqueio anestésico simpático,N. I.
31602096,Bloqueio de gânglio estrelado com anestésico local,Masculino
31602096,Bloqueio de gânglio estrelado com anestésico local,Feminino
31602096,Bloqueio de gânglio estrelado com anestésico local,N. I.
31602100,Bloqueio de gânglio estrelado com neurolítico,Masculino
31602100,Bloqueio de gânglio estrelado com neurolítico,Feminino
31602100,Bloqueio de gânglio estrelado com neurolítico,N. I.
31602134,Bloqueio neurolítico de nervos cranianos ou cérvico-torácico,Masculino
31602134,Bloqueio neurolítico de nervos cranianos ou cérvico-torácico,Feminino
31602134,Bloqueio neurolítico de nervos cranianos ou cérvico-torácico,N. I.
31602142,"Bloqueio neurolítico do plexo celíaco, simpático lombar ou torácico",Masculino
31602142,"Bloqueio neurolítico do plexo celíaco, simpático lombar ou torácico",Feminino
31602142,"Bloqueio neurolítico do plexo celíaco, simpático lombar ou torácico",N. I.
31602150,Bloqueio neurolítico peridural ou subaracnóideo,Masculino
31602150,Bloqueio neurolítico peridural ou subaracnóideo,Feminino
31602150,Bloqueio neurolítico peridural ou subaracnóideo,N. I.
31602185,Estimulação elétrica transcutânea,Masculino
31602185,Estimulação elétrica transcutânea,Feminino
31602185,Estimulação elétrica transcutânea,N. I.
31602339,"Bloqueio anestésico de plexos nervosos (lombossacro, braquial, cervical) para tratamento de dor",Masculino
31602339,"Bloqueio anestésico de plexos nervosos (lombossacro, braquial, cervical) para tratamento de dor",Feminino
31602339,"Bloqueio anestésico de plexos nervosos (lombossacro, braquial, cervical) para tratamento de dor",N. I.
40103420,Imitanciometria de alta frequência,Masculino
40103420,Imitanciometria de alta frequência,Feminino
40103420,Imitanciometria de alta frequência,N. I.
40201090,Colonoscopia com magnificação,Masculino
40201090,Colonoscopia com magnificação,Feminino
40201090,Colonoscopia com magnificação,N. I.
40201139,Endoscopia digestiva alta com magnificação,Masculino
40201139,Endoscopia digestiva alta com magnificação,Feminino
40201139,Endoscopia digestiva alta com magnificação,N. I.
40201368,Broncoscopia com cromoscopia,Masculino
40201368,Broncoscopia com cromoscopia,Feminino
40201368,Broncoscopia com cromoscopia,N. I.
40202186,"Dilatação instrumental do esôfago, estômago ou duodeno",Masculino
40202186,"Dilatação instrumental do esôfago, estômago ou duodeno",Feminino
40202186,"Dilatação instrumental do esôfago, estômago ou duodeno",N. I.
40202259,"Esclerose de varizes de esôfago, estômago ou duodeno",Masculino
40202259,"Esclerose de varizes de esôfago, estômago ou duodeno",Feminino
40202259,"Esclerose de varizes de esôfago, estômago ou duodeno",N. I.
40202291,"Hemostasia mecânica do esôfago, estômago ou duodeno",Masculino
40202291,"Hemostasia mecânica do esôfago, estômago ou duodeno",Feminino
40202291,"Hemostasia mecânica do esôfago, estômago ou duodeno",N. I.
40202313,Hemostasias de cólon,Masculino
40202313,Hemostasias de cólon,Feminino
40202313,Hemostasias de cólon,N. I.
40202372,Laringoscopia com retirada de corpo estranho de laringe/faringe (tubo flexível),Masculino
40202372,Laringoscopia com retirada de corpo estranho de laringe/faringe (tubo flexível),Feminino
40202372,Laringoscopia com retirada de corpo estranho de laringe/faringe (tubo flexível),N. I.
40202445,Laringoscopia/traqueoscopia para intubação oro ou nasotraqueal,Masculino
40202445,Laringoscopia/traqueoscopia para intubação oro ou nasotraqueal,Feminino
40202445,Laringoscopia/traqueoscopia para intubação oro ou nasotraqueal,N. I.
40202470,Mucosectomia,Masculino
40202470,Mucosectomia,Feminino
40202470,Mucosectomia,N. I.
40202534,Passagem de sonda naso-enteral,Masculino
40202534,Passagem de sonda naso-enteral,Feminino
40202534,Passagem de sonda naso-enteral,N. I.
40202690,Retossigmoidoscopia flexível com biópsia e/ou citologia,Masculino
40202690,Retossigmoidoscopia flexível com biópsia e/ou citologia,Feminino
40202690,Retossigmoidoscopia flexível com biópsia e/ou citologia,N. I.
40202712,Colonoscopia com mucosectomia,Masculino
40202712,Colonoscopia com mucosectomia,Feminino
40202712,Colonoscopia com mucosectomia,N. I.
40301206,Acilcarnitinas (perfil qualitativo),Masculino
40301206,Acilcarnitinas (perfil qualitativo),Feminino
40301206,Acilcarnitinas (perfil qualitativo),N. I.
40302016,"Gasometria (pH, pCO2, SA, O2, excesso base) - pesquisa e/ou dosagem",Masculino
40302016,"Gasometria (pH, pCO2, SA, O2, excesso base) - pesquisa e/ou dosagem",Feminino
40302016,"Gasometria (pH, pCO2, SA, O2, excesso base) - pesquisa e/ou dosagem",N. I.
40302563,Tripsina imuno reativa (IRT) - pesquisa e/ou dosagem,Masculino
40302563,Tripsina imuno reativa (IRT) - pesquisa e/ou dosagem,Feminino
40302563,Tripsina imuno reativa (IRT) - pesquisa e/ou dosagem,N. I.
40302687,Procalcitonina - pesquisa e/ou dosagem,Masculino
40302687,Procalcitonina - pesquisa e/ou dosagem,Feminino
40302687,Procalcitonina - pesquisa e/ou dosagem,N. I.
40304337,"Hematócrito, determinação do",Masculino
40304337,"Hematócrito, determinação do",Feminino
40304337,"Hematócrito, determinação do",N. I.
40304493,"Produtos de degradação da fibrina, qualitativo - pesquisa e/ou dosagem",Masculino
40304493,"Produtos de degradação da fibrina, qualitativo - pesquisa e/ou dosagem",Feminino
40304493,"Produtos de degradação da fibrina, qualitativo - pesquisa e/ou dosagem",N. I.
40304701,Imunofenotipagem para doença residual mínima (*),Masculino
40304701,Imunofenotipagem para doença residual mínima (*),Feminino
40304701,Imunofenotipagem para doença residual mínima (*),N. I.
40307751,Sífilis - TPHA - pesquisa,Masculino
40307751,Sífilis - TPHA - pesquisa,Feminino
40307751,Sífilis - TPHA - pesquisa,N. I.
40307875,Western Blot (anticorpos anti-HIV) - pesquisa e/ou dosagem,Masculino
40307875,Western Blot (anticorpos anti-HIV) - pesquisa e/ou dosagem,Feminino
40307875,Western Blot (anticorpos anti-HIV) - pesquisa e/ou dosagem,N. I.
40308154,Toxoplasmose - IgA - pesquisa e/ou dosagem,Masculino
40308154,Toxoplasmose - IgA - pesquisa e/ou dosagem,Feminino
40308154,Toxoplasmose - IgA - pesquisa e/ou dosagem,N. I.
40308286,Sífilis anticorpo total - pesquisa e/ou dosagem,Masculino
40308286,Sífilis anticorpo total - pesquisa e/ou dosagem,Feminino
40308286,Sífilis anticorpo total - pesquisa e/ou dosagem,N. I.
40308294,Sífilis IgM - pesquisa e/ou dosagem,Masculino
40308294,Sífilis IgM - pesquisa e/ou dosagem,Feminino
40308294,Sífilis IgM - pesquisa e/ou dosagem,N. I.
40314138,HIV - qualitativo por PCR - pesquisa,Masculino
40314138,HIV - qualitativo por PCR - pesquisa,Feminino
40314138,HIV - qualitativo por PCR - pesquisa,N. I.
40314340,"Coronavirus, detecção por PCR",Masculino
40314340,"Coronavirus, detecção por PCR",Feminino
40314340,"Coronavirus, detecção por PCR",N. I.
40314561,Vírus Zika - por PCR,Masculino
40314561,Vírus Zika - por PCR,Feminino
40314561,Vírus Zika - por PCR,N. I.
40321290,Isoenzimas de CPK,Masculino
40321290,Isoenzimas de CPK,Feminino
40321290,Isoenzimas de CPK,N. I.
40324265,"Cadeias leves livres Kappa/Lambda, dosagem, sangue",Masculino
40324265,"Cadeias leves livres Kappa/Lambda, dosagem, sangue",Feminino
40324265,"Cadeias leves livres Kappa/Lambda, dosagem, sangue",N. I.
40401014,Transfusão (ato médico ambulatorial ou hospitalar),Masculino
40401014,Transfusão (ato médico ambulatorial ou hospitalar),Feminino
40401014,Transfusão (ato médico ambulatorial ou hospitalar),N. I.
40401022,Transfusão (ato médico de acompanhamento),Masculino
40401022,Transfusão (ato médico de acompanhamento),Feminino
40401022,Transfusão (ato médico de acompanhamento),N. I.
40402010,Material descartável (kit) e soluções para utilização de processadora automática de sangue / auto transfusão intra-operatória,Masculino
40402010,Material descartável (kit) e soluções para utilização de processadora automática de sangue / auto transfusão intra-operatória,Feminino
40402010,Material descartável (kit) e soluções para utilização de processadora automática de sangue / auto transfusão intra-operatória,N. I.
40402029,Material descartável (kit) e soluções para utilização de processadora automática de sangue/aférese,Masculino
40402029,Material descartável (kit) e soluções para utilização de processadora automática de sangue/aférese,Feminino
40402029,Material descartável (kit) e soluções para utilização de processadora automática de sangue/aférese,N. I.
40402037,Sangria terapêutica,Masculino
40402037,Sangria terapêutica,Feminino
40402037,Sangria terapêutica,N. I.
40402045,Unidade de concentrado de hemácias,Masculino
40402045,Unidade de concentrado de hemácias,Feminino
40402045,Unidade de concentrado de hemácias,N. I.
40402053,Unidade de concentrado de hemácias lavadas,Masculino
40402053,Unidade de concentrado de hemácias lavadas,Feminino
40402053,Unidade de concentrado de hemácias lavadas,N. I.
40402061,Unidade de concentrado de plaquetas por aférese,Masculino
40402061,Unidade de concentrado de plaquetas por aférese,Feminino
40402061,Unidade de concentrado de plaquetas por aférese,N. I.
40402070,Unidade de concentrado de plaquetas randômicas,Masculino
40402070,Unidade de concentrado de plaquetas randômicas,Feminino
40402070,Unidade de concentrado de plaquetas randômicas,N. I.
40402096,Unidade de plasma,Masculino
40402096,Unidade de plasma,Feminino
40402096,Unidade de plasma,N. I.
40402118,Deleucotização de unidade de concentrado de hemácias - por unidade,Masculino
40402118,Deleucotização de unidade de concentrado de hemácias - por unidade,Feminino
40402118,Deleucotização de unidade de concentrado de hemácias - por unidade,N. I.
40402126,Deleucotização de unidade de concentrado de plaquetas - até 6 unidades,Masculino
40402126,Deleucotização de unidade de concentrado de plaquetas - até 6 unidades,Feminino
40402126,Deleucotização de unidade de concentrado de plaquetas - até 6 unidades,N. I.
40403106,Eletroforese de hemoglobina por componente hemoterápico,Masculino
40403106,Eletroforese de hemoglobina por componente hemoterápico,Feminino
40403106,Eletroforese de hemoglobina por componente hemoterápico,N. I.
40403130,Fenotipagem de outros sistemas eritrocitários - por fenótipo,Masculino
40403130,Fenotipagem de outros sistemas eritrocitários - por fenótipo,Feminino
40403130,Fenotipagem de outros sistemas eritrocitários - por fenótipo,N. I.
40403157,"Fenotipagem do sistema RH-HR (D, C, E, C E C) gel teste",Masculino
40403157,"Fenotipagem do sistema RH-HR (D, C, E, C E C) gel teste",Feminino
40403157,"Fenotipagem do sistema RH-HR (D, C, E, C E C) gel teste",N. I.
40403181,Grupo sanguíneo ABO e RH - gel teste - pesquisa,Masculino
40403181,Grupo sanguíneo ABO e RH - gel teste - pesquisa,Feminino
40403181,Grupo sanguíneo ABO e RH - gel teste - pesquisa,N. I.
40403246,Imunofenotipagem de subpopulações linfocitárias - Citômetro de Fluxo,Masculino
40403246,Imunofenotipagem de subpopulações linfocitárias - Citômetro de Fluxo,Feminino
40403246,Imunofenotipagem de subpopulações linfocitárias - Citômetro de Fluxo,N. I.
40403254,Imunofenotipagem para classificação de leucemias - Citômetro de Fluxo,Masculino
40403254,Imunofenotipagem para classificação de leucemias - Citômetro de Fluxo,Feminino
40403254,Imunofenotipagem para classificação de leucemias - Citômetro de Fluxo,N. I.
40403262,NAT/HCV por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403262,NAT/HCV por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403262,NAT/HCV por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403289,NAT/HIV por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403289,NAT/HIV por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403289,NAT/HIV por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403343,Pesquisa de anticorpos séricos irregulares antieritrocitários,Masculino
40403343,Pesquisa de anticorpos séricos irregulares antieritrocitários,Feminino
40403343,Pesquisa de anticorpos séricos irregulares antieritrocitários,N. I.
40403351,Pesquisa de anticorpos séricos irregulares antieritrocitários - gel teste,Masculino
40403351,Pesquisa de anticorpos séricos irregulares antieritrocitários - gel teste,Feminino
40403351,Pesquisa de anticorpos séricos irregulares antieritrocitários - gel teste,N. I.
40403386,Pesquisa de hemoglobina S por componente hemoterápico - gel teste,Masculino
40403386,Pesquisa de hemoglobina S por componente hemoterápico - gel teste,Feminino
40403386,Pesquisa de hemoglobina S por componente hemoterápico - gel teste,N. I.
40403408,Prova de compatibilidade pré-transfusional completa,Masculino
40403408,Prova de compatibilidade pré-transfusional completa,Feminino
40403408,Prova de compatibilidade pré-transfusional completa,N. I.
40403416,Prova de compatibilidade pré-transfusional completa - gel teste,Masculino
40403416,Prova de compatibilidade pré-transfusional completa - gel teste,Feminino
40403416,Prova de compatibilidade pré-transfusional completa - gel teste,N. I.
40403424,S. Anti-HTLV-I + HTLV-II (determinação conjunta) por componente hemoterápico,Masculino
40403424,S. Anti-HTLV-I + HTLV-II (determinação conjunta) por componente hemoterápico,Feminino
40403424,S. Anti-HTLV-I + HTLV-II (determinação conjunta) por componente hemoterápico,N. I.
40403440,S. Chagas EIE por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403440,S. Chagas EIE por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403440,S. Chagas EIE por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403467,S. Hepatite B anti-HBC por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403467,S. Hepatite B anti-HBC por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403467,S. Hepatite B anti-HBC por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403483,S. Hepatite C anti-HCV por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403483,S. Hepatite C anti-HCV por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403483,S. Hepatite C anti-HCV por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403505,S. HIV EIE por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403505,S. HIV EIE por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403505,S. HIV EIE por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403564,S. Sífilis FTA - ABS por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403564,S. Sífilis FTA - ABS por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403564,S. Sífilis FTA - ABS por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403580,S. Sífilis HA por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403580,S. Sífilis HA por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403580,S. Sífilis HA por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403602,S. Sífilis VDRL por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403602,S. Sífilis VDRL por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403602,S. Sífilis VDRL por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403661,S. Hepatite B (HBsAg) RIE ou EIE por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403661,S. Hepatite B (HBsAg) RIE ou EIE por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403661,S. Hepatite B (HBsAg) RIE ou EIE por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403688,Teste de Coombs direto,Masculino
40403688,Teste de Coombs direto,Feminino
40403688,Teste de Coombs direto,N. I.
40403696,Teste de Coombs direto - gel teste,Masculino
40403696,Teste de Coombs direto - gel teste,Feminino
40403696,Teste de Coombs direto - gel teste,N. I.
40403700,"Teste de Coombs direto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste",Masculino
40403700,"Teste de Coombs direto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste",Feminino
40403700,"Teste de Coombs direto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste",N. I.
40403718,"Teste de Coombs indireto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste",Masculino
40403718,"Teste de Coombs indireto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste",Feminino
40403718,"Teste de Coombs indireto - mono específico (IgG, IgA, C3, C3D, Poliv. - AGH) - gel teste",N. I.
40403890,NAT/HBV - por componente hemoterápico - pesquisa e/ou dosagem,Masculino
40403890,NAT/HBV - por componente hemoterápico - pesquisa e/ou dosagem,Feminino
40403890,NAT/HBV - por componente hemoterápico - pesquisa e/ou dosagem,N. I.
40403971,"Imuno-hematológicos: tipificação ABO, incluindo tipagem reversa e determinação do fator RH (D), incluindo prova para D-fraco e pesquisa e identificação de anticorpos séricos irregulares antieritrocitários",Masculino
40403971,"Imuno-hematológicos: tipificação ABO, incluindo tipagem reversa e determinação do fator RH (D), incluindo prova para D-fraco e pesquisa e identificação de anticorpos séricos irregulares antieritrocitários",Feminino
40403971,"Imuno-hematológicos: tipificação ABO, incluindo tipagem reversa e determinação do fator RH (D), incluindo prova para D-fraco e pesquisa e identificação de anticorpos séricos irregulares antieritrocitários",N. I.
40501248,CITOGENÉTICA DE MEDULA ÓSSEA,Masculino
40501248,CITOGENÉTICA DE MEDULA ÓSSEA,Feminino
40501248,CITOGENÉTICA DE MEDULA ÓSSEA,N. I.
40501248,HER2 FISH para amplificação gênica em tumor de mama,Masculino
40501248,HER2 FISH para amplificação gênica em tumor de mama,Feminino
40501248,HER2 FISH para amplificação gênica em tumor de mama,N. I.
40501272,Translocação PML/RARA  t(15;17) FISH em sangue periférico,Masculino
40501272,Translocação PML/RARA  t(15;17) FISH em sangue periférico,Feminino
40501272,Translocação PML/RARA  t(15;17) FISH em sangue periférico,N. I.
40503011,"Análise de DNA com enzimas de restrição por enzima utilizada, por amostra",Masculino
40503011,"Análise de DNA com enzimas de restrição por enzima utilizada, por amostra",Feminino
40503011,"Análise de DNA com enzimas de restrição por enzima utilizada, por amostra",N. I.
40503038,"Análise de DNA fetal por sonda ou PCR por locus, por amostra",Masculino
40503038,"Análise de DNA fetal por sonda ou PCR por locus, por amostra",Feminino
40503038,"Análise de DNA fetal por sonda ou PCR por locus, por amostra",N. I.
40503062,"Análise de DNA por sonda, ou PCR por locus, por amostra",Masculino
40503062,"Análise de DNA por sonda, ou PCR por locus, por amostra",Feminino
40503062,"Análise de DNA por sonda, ou PCR por locus, por amostra",N. I.
40503151,"Análise de DNA por MLPA, por sonda de DNA utilizada, por amostra",Masculino
40503151,"Análise de DNA por MLPA, por sonda de DNA utilizada, por amostra",Feminino
40503151,"Análise de DNA por MLPA, por sonda de DNA utilizada, por amostra",N. I.
40503240,"Rastreamento pré-natal ou pós-natal de todo o genoma para  identificar alterações cromossômicas submicroscópicas por CGH-array ou SNP-array ou outras técnicas, por clone ou oligo utilizado, por amostra",Masculino
40503240,"Rastreamento pré-natal ou pós-natal de todo o genoma para  identificar alterações cromossômicas submicroscópicas por CGH-array ou SNP-array ou outras técnicas, por clone ou oligo utilizado, por amostra",Feminino
40503240,"Rastreamento pré-natal ou pós-natal de todo o genoma para  identificar alterações cromossômicas submicroscópicas por CGH-array ou SNP-array ou outras técnicas, por clone ou oligo utilizado, por amostra",N. I.
40503372,"JAK2 (gene), detecção das mutações por PCR",Masculino
40503372,"JAK2 (gene), detecção das mutações por PCR",Feminino
40503372,"JAK2 (gene), detecção das mutações por PCR",N. I.
40503410,"Hipolactasia, análise molecular",Masculino
40503410,"Hipolactasia, análise molecular",Feminino
40503410,"Hipolactasia, análise molecular",N. I.
40503542,Rearranjo gênico quantitativo BCR/ABL por PCR,Masculino
40503542,Rearranjo gênico quantitativo BCR/ABL por PCR,Feminino
40503542,Rearranjo gênico quantitativo BCR/ABL por PCR,N. I.
40503755,Detecção/tipagem herpes vírus 1/2 líquor,Masculino
40503755,Detecção/tipagem herpes vírus 1/2 líquor,Feminino
40503755,Detecção/tipagem herpes vírus 1/2 líquor,N. I.
40503771,"K-RAS, pesquisa de mutação",Masculino
40503771,"K-RAS, pesquisa de mutação",Feminino
40503771,"K-RAS, pesquisa de mutação",N. I.
40503801,"Sequenciamento de Nova Geração (NGS) - genes isolados, painéis e grandes regiões genômicas (inclui Captura, Amplificação e Sequenciamento)",Masculino
40503801,"Sequenciamento de Nova Geração (NGS) - genes isolados, painéis e grandes regiões genômicas (inclui Captura, Amplificação e Sequenciamento)",Feminino
40503801,"Sequenciamento de Nova Geração (NGS) - genes isolados, painéis e grandes regiões genômicas (inclui Captura, Amplificação e Sequenciamento)",N. I.
40503828,Rearranjo PML/RARA  t(15;17) RQ-PCR (Quantitativo em tempo real),Masculino
40503828,Rearranjo PML/RARA  t(15;17) RQ-PCR (Quantitativo em tempo real),Feminino
40503828,Rearranjo PML/RARA  t(15;17) RQ-PCR (Quantitativo em tempo real),N. I.
40601013,Procedimento diagnóstico peroperatório sem deslocamento do patologista,Masculino
40601013,Procedimento diagnóstico peroperatório sem deslocamento do patologista,Feminino
40601013,Procedimento diagnóstico peroperatório sem deslocamento do patologista,N. I.
40601188,Procedimento diagnóstico em reação imunoistoquímica isolada,Masculino
40601188,Procedimento diagnóstico em reação imunoistoquímica isolada,Feminino
40601188,Procedimento diagnóstico em reação imunoistoquímica isolada,N. I.
40703029,Cintilografia da tireóide e/ou captação (iodo - 131),Masculino
40703029,Cintilografia da tireóide e/ou captação (iodo - 131),Feminino
40703029,Cintilografia da tireóide e/ou captação (iodo - 131),N. I.
40704025,Cintilografia renal dinâmica com diurético,Masculino
40704025,Cintilografia renal dinâmica com diurético,Feminino
40704025,Cintilografia renal dinâmica com diurético,N. I.
40707091,Cintilografia perfusão cerebral para avaliação de transportadores de dopamina,Masculino
40707091,Cintilografia perfusão cerebral para avaliação de transportadores de dopamina,Feminino
40707091,Cintilografia perfusão cerebral para avaliação de transportadores de dopamina,N. I.
40708128,PET dedicado oncológico,Masculino
40708128,PET dedicado oncológico,Feminino
40708128,PET dedicado oncológico,N. I.
40710017,Sessão médica para planejamento técnico de radioisotopoterapia,Masculino
40710017,Sessão médica para planejamento técnico de radioisotopoterapia,Feminino
40710017,Sessão médica para planejamento técnico de radioisotopoterapia,N. I.
40710041,Tratamento de câncer da tireóide,Masculino
40710041,Tratamento de câncer da tireóide,Feminino
40710041,Tratamento de câncer da tireóide,N. I.
40710050,Tratamento de hipertireoidismo-bócio nodular tóxico (Graves),Masculino
40710050,Tratamento de hipertireoidismo-bócio nodular tóxico (Graves),Feminino
40710050,Tratamento de hipertireoidismo-bócio nodular tóxico (Graves),N. I.
40710068,Tratamento de hipertireoidismo-bócio nodular tóxico (Plummer),Masculino
40710068,Tratamento de hipertireoidismo-bócio nodular tóxico (Plummer),Feminino
40710068,Tratamento de hipertireoidismo-bócio nodular tóxico (Plummer),N. I.
40710092,Tratamento de tumores neuroendócrinos,Masculino
40710092,Tratamento de tumores neuroendócrinos,Feminino
40710092,Tratamento de tumores neuroendócrinos,N. I.
40809102,Drenagem percutânea orientada por RX (acrescentar o exame de base),Masculino
40809102,Drenagem percutânea orientada por RX (acrescentar o exame de base),Feminino
40809102,Drenagem percutânea orientada por RX (acrescentar o exame de base),N. I.
40813070,Angioplastia de tronco supra-aórtico,Masculino
40813070,Angioplastia de tronco supra-aórtico,Feminino
40813070,Angioplastia de tronco supra-aórtico,N. I.
40813134,Angioplastia arterial ou venosa de anastomose vascular de rim transplantado,Masculino
40813134,Angioplastia arterial ou venosa de anastomose vascular de rim transplantado,Feminino
40813134,Angioplastia arterial ou venosa de anastomose vascular de rim transplantado,N. I.
40813150,Angioplastia de tronco venoso,Masculino
40813150,Angioplastia de tronco venoso,Feminino
40813150,Angioplastia de tronco venoso,N. I.
40813185,Angioplastia transluminal percutânea para tratamento de obstrução arterial,Masculino
40813185,Angioplastia transluminal percutânea para tratamento de obstrução arterial,Feminino
40813185,Angioplastia transluminal percutânea para tratamento de obstrução arterial,N. I.
40813193,Colocação de stent em ramo intracraniano,Masculino
40813193,Colocação de stent em ramo intracraniano,Feminino
40813193,Colocação de stent em ramo intracraniano,N. I.
40813207,Colocação de stent em tronco supra-aórtico,Masculino
40813207,Colocação de stent em tronco supra-aórtico,Feminino
40813207,Colocação de stent em tronco supra-aórtico,N. I.
40813231,Colocação de cateter venoso central ou portocath,Masculino
40813231,Colocação de cateter venoso central ou portocath,Feminino
40813231,Colocação de cateter venoso central ou portocath,N. I.
40813240,Colocação de filtro de VCI para prevenção de TEP,Masculino
40813240,Colocação de filtro de VCI para prevenção de TEP,Feminino
40813240,Colocação de filtro de VCI para prevenção de TEP,N. I.
40813266,Colocação de stent para tratamento de obstrução arterial ou venosa,Masculino
40813266,Colocação de stent para tratamento de obstrução arterial ou venosa,Feminino
40813266,Colocação de stent para tratamento de obstrução arterial ou venosa,N. I.
40813410,Drenagem percutânea de coleção pleural,Masculino
40813410,Drenagem percutânea de coleção pleural,Feminino
40813410,Drenagem percutânea de coleção pleural,N. I.
40813541,Embolização de aneurisma cerebral por oclusão sacular - por vaso,Masculino
40813541,Embolização de aneurisma cerebral por oclusão sacular - por vaso,Feminino
40813541,Embolização de aneurisma cerebral por oclusão sacular - por vaso,N. I.
40813835,Gastrostomia percutânea orientada por RX ou TC,Masculino
40813835,Gastrostomia percutânea orientada por RX ou TC,Feminino
